
"#","id","label","description"
1,"TLFT","Tote Left Front Top","Storage Tote"
2,"TLFB","Tote Left Front Bottom","Storage Tote"
3,"TRFT","Tote Right Front Top","Storage Tote"
4,"TRSB","Tote Right Side Bottom","Storage Tote"
