"#","id","label","side","segment"
1,"00B42D51","calcn_l_imu","left","foot"
2,"00B42D48","calcn_r_imu","right","foot"
3,"00B42D53","tibia_l_imu","left","shank"
4,"00B42D4E","tibia_r_imu","right","shank"
5,"00B42D4D","femur_l_imu","left","upper leg"
6,"00B42DA2","femur_r_imu","right","upper leg"
7,"00B42DA3","pelvis_imu",,"pelvis"
8,"00B42D44","torso_imu",,"sternum"
9,"00B42D56","humerus_l_imu","left","upper arm"
10,"00B42D32","humerus_r_imu","right","upper arm"
11,"00B42D46","radius_l_imu","left","forearm"
12,"00B42D4F","radius_r_imu","right","forearm"
13,"00B42D4B","head_imu",,"head"
14,"00B42D54","punching_bag_imu",,"punching bag"
